MN655002.1|QGW51709.1	KY581700.1|ASU45872.1
MN655002.1|QGW51710.1	KY581700.1|ASU45871.1
MN655002.1|QGW51711.1	KY581700.1|ASU45873.1
MN655002.1|QGW51712.1	KY581700.1|ASU45874.1
MN655002.1|QGW51713.1	KY581700.1|ASU45875.1
MN655002.1|QGW51714.1	KY581700.1|ASU45876.1
MN655002.1|QGW51715.1	KY581700.1|ASU45877.1
MN655002.1|QGW51716.1	KY581700.1|ASU45878.1
MN655002.1|QGW51717.1	KY581700.1|ASU45879.1
MN655002.1|QGW51718.1	KY581700.1|ASU45880.1
