OP906306.1|WAM65128.1	KY581700.1|ASU45873.1
OP906306.1|WAM65129.1	KY581700.1|ASU45874.1
OP906306.1|WAM65130.1	KY581700.1|ASU45875.1
OP906306.1|WAM65131.1	KY581700.1|ASU45876.1
OP906306.1|WAM65132.1	KY581700.1|ASU45877.1
OP906306.1|WAM65133.1	KY581700.1|ASU45878.1
OP906306.1|WAM65134.1	KY581700.1|ASU45879.1
OP906306.1|WAM65135.1	KY581700.1|ASU45880.1
OP906306.1|WAM65136.1	KY581700.1|ASU45872.1
OP906306.1|WAM65137.1	KY581700.1|ASU45871.1
