MF598674.1|ASU90800.1	KY581700.1|ASU45871.1
MF598674.1|ASU90801.1	KY581700.1|ASU45872.1
MF598674.1|ASU90802.1	KY581700.1|ASU45873.1
MF598674.1|ASU90803.1	KY581700.1|ASU45874.1
MF598674.1|ASU90804.1	KY581700.1|ASU45875.1
MF598674.1|ASU90805.1	KY581700.1|ASU45876.1
MF598674.1|ASU90806.1	KY581700.1|ASU45877.1
MF598674.1|ASU90807.1	KY581700.1|ASU45878.1
MF598674.1|ASU90808.1	KY581700.1|ASU45879.1
MF598674.1|ASU90809.1	KY581700.1|ASU45880.1
MF598674.1|ASU90810.1	KY581700.1|ASU45881.1
