KT368875.1|ALA49900.1	KY581700.1|ASU45872.1
KT368875.1|ALA49901.1	KY581700.1|ASU45871.1
KT368875.1|ALA49902.1	KY581700.1|ASU45873.1
KT368875.1|ALA49903.1	KY581700.1|ASU45874.1
KT368875.1|ALA49904.1	KY581700.1|ASU45875.1
KT368875.1|ALA49905.1	KY581700.1|ASU45876.1
KT368875.1|ALA49906.1	KY581700.1|ASU45877.1
KT368875.1|ALA49907.1	KY581700.1|ASU45878.1
KT368875.1|ALA49908.1	KY581700.1|ASU45879.1
KT368875.1|ALA49909.1	KY581700.1|ASU45880.1
KT368875.1|ALA49910.1	KY581700.1|ASU45881.1
