KT374054.1|ALB08288.1	KY581700.1|ASU45872.1
KT374054.1|ALB08289.1	KY581700.1|ASU45873.1
KT374054.1|ALB08290.1	KY581700.1|ASU45874.1
KT374054.1|ALB08291.1	KY581700.1|ASU45875.1
KT374054.1|ALB08292.1	KY581700.1|ASU45876.1
KT374054.1|ALB08293.1	KY581700.1|ASU45877.1
KT374054.1|ALB08294.1	KY581700.1|ASU45878.1
KT374054.1|ALB08295.1	KY581700.1|ASU45879.1
KT374054.1|ALB08296.1	KY581700.1|ASU45880.1
KT374054.1|ALB08297.1	KY581700.1|ASU45881.1
KT374054.1|ALB08298.1	KY581700.1|ASU45871.1
