KR011266.1|AKI29283.1	KY581700.1|ASU45871.1
KR011266.1|AKI29284.1	KY581700.1|ASU45873.1
KR011266.1|AKI29285.1	KY581700.1|ASU45874.1
KR011266.1|AKI29286.1	KY581700.1|ASU45875.1
KR011266.1|AKI29287.1	KY581700.1|ASU45876.1
KR011266.1|AKI29288.1	KY581700.1|ASU45877.1
KR011266.1|AKI29289.1	KY581700.1|ASU45878.1
KR011266.1|AKI29290.1	KY581700.1|ASU45879.1
KR011266.1|AKI29291.1	KY581700.1|ASU45880.1
KR011266.1|AKI29292.1	KY581700.1|ASU45872.1
