CDS	LRT	p-value	SelectedSites
Hepeviridae_6_JF915746.1_AEQ16235.1	.919166	0.337694	
Hepeviridae_6_JF915746.1_AEQ16236.1	1.011780	0.314477	
Hepeviridae_6_JF915746.1_AEQ16237.1	2.840128	0.091937	
