KX034099.1|ANC28698.1	KY581700.1|ASU45871.1
KX034099.1|ANC28699.1	KY581700.1|ASU45872.1
KX034099.1|ANC28700.1	KY581700.1|ASU45873.1
KX034099.1|ANC28701.1	KY581700.1|ASU45874.1
KX034099.1|ANC28702.1	KY581700.1|ASU45875.1
KX034099.1|ANC28703.1	KY581700.1|ASU45876.1
KX034099.1|ANC28704.1	KY581700.1|ASU45877.1
KX034099.1|ANC28705.1	KY581700.1|ASU45878.1
KX034099.1|ANC28706.1	KY581700.1|ASU45879.1
KX034099.1|ANC28707.1	KY581700.1|ASU45880.1
KX034099.1|ANC28708.1	KY581700.1|ASU45881.1
