KX108941.1|ANI69866.1	KY581700.1|ASU45871.1
KX108941.1|ANI69867.1	KY581700.1|ASU45872.1
KX108941.1|ANI69868.1	KY581700.1|ASU45873.1
KX108941.1|ANI69869.1	KY581700.1|ASU45874.1
KX108941.1|ANI69870.1	KY581700.1|ASU45875.1
KX108941.1|ANI69871.1	KY581700.1|ASU45876.1
KX108941.1|ANI69872.1	KY581700.1|ASU45878.1
KX108941.1|ANI69873.1	KY581700.1|ASU45879.1
KX108941.1|ANI69874.1	KY581700.1|ASU45880.1
KX108941.1|ANI69875.1	KY581700.1|ASU45881.1
