KJ713297.1|AHY22543.1	KY581700.1|ASU45871.1
KJ713297.1|AHY22544.1	KY581700.1|ASU45872.1
KJ713297.1|AHY22545.1	KY581700.1|ASU45873.1
KJ713297.1|AHY22546.1	KY581700.1|ASU45874.1
KJ713297.1|AHY22547.1	KY581700.1|ASU45876.1
KJ713297.1|AHY22548.1	KY581700.1|ASU45877.1
KJ713297.1|AHY22549.1	KY581700.1|ASU45878.1
KJ713297.1|AHY22550.1	KY581700.1|ASU45879.1
KJ713297.1|AHY22551.1	KY581700.1|ASU45880.1
KJ713297.1|AHY22552.1	KY581700.1|ASU45881.1
