KY688119.1|AQZ41321.1	KY581700.1|ASU45872.1
KY688119.1|AQZ41322.1	KY581700.1|ASU45873.1
KY688119.1|AQZ41323.1	KY581700.1|ASU45875.1
KY688119.1|AQZ41324.1	KY581700.1|ASU45876.1
KY688119.1|AQZ41325.1	KY581700.1|ASU45877.1
KY688119.1|AQZ41326.1	KY581700.1|ASU45878.1
KY688119.1|AQZ41327.1	KY581700.1|ASU45879.1
KY688119.1|AQZ41328.1	KY581700.1|ASU45880.1
KY688119.1|AQZ41329.1	KY581700.1|ASU45881.1
KY688119.1|AQZ41330.1	KY581700.1|ASU45871.1
