MZ268405.1|QWQ31051.1	KY581700.1|ASU45871.1
MZ268405.1|QWQ31052.1	KY581700.1|ASU45872.1
MZ268405.1|QWQ31053.1	KY581700.1|ASU45873.1
MZ268405.1|QWQ31054.1	KY581700.1|ASU45874.1
MZ268405.1|QWQ31055.1	KY581700.1|ASU45875.1
MZ268405.1|QWQ31056.1	KY581700.1|ASU45876.1
MZ268405.1|QWQ31057.1	KY581700.1|ASU45877.1
MZ268405.1|QWQ31058.1	KY581700.1|ASU45878.1
MZ268405.1|QWQ31059.1	KY581700.1|ASU45879.1
MZ268405.1|QWQ31060.1	KY581700.1|ASU45880.1
MZ268405.1|QWQ31061.1	KY581700.1|ASU45881.1
