KX574227.1|ARJ34224.1	KY581700.1|ASU45872.1
KX574227.1|ARJ34226.1	KY581700.1|ASU45873.1
KX574227.1|ARJ34227.1	KY581700.1|ASU45874.1
KX574227.1|ARJ34228.1	KY581700.1|ASU45875.1
KX574227.1|ARJ34229.1	KY581700.1|ASU45876.1
KX574227.1|ARJ34230.1	KY581700.1|ASU45877.1
KX574227.1|ARJ34231.1	KY581700.1|ASU45878.1
KX574227.1|ARJ34232.1	KY581700.1|ASU45879.1
KX574227.1|ARJ34233.1	KY581700.1|ASU45880.1
