MG011342.2|ATG84699.1	KY581700.1|ASU45871.1
MG011342.2|ATG84700.1	KY581700.1|ASU45872.1
MG011342.2|ATG84701.1	KY581700.1|ASU45873.1
MG011342.2|ATG84702.1	KY581700.1|ASU45874.1
MG011342.2|ATG84703.1	KY581700.1|ASU45875.1
MG011342.2|ATG84704.1	KY581700.1|ASU45876.1
MG011342.2|ATG84705.1	KY581700.1|ASU45877.1
MG011342.2|ATG84706.1	KY581700.1|ASU45878.1
MG011342.2|ATG84707.1	KY581700.1|ASU45879.1
MG011342.2|ATG84708.1	KY581700.1|ASU45880.1
MG011342.2|ATG84709.1	KY581700.1|ASU45881.1
