KP223131.1|AIZ48758.1	KY581700.1|ASU45871.1
KP223131.1|AIZ48759.1	KY581700.1|ASU45872.1
KP223131.1|AIZ48760.1	KY581700.1|ASU45873.1
KP223131.1|AIZ48761.1	KY581700.1|ASU45874.1
KP223131.1|AIZ48762.1	KY581700.1|ASU45875.1
KP223131.1|AIZ48763.1	KY581700.1|ASU45876.1
KP223131.1|AIZ48764.1	KY581700.1|ASU45877.1
KP223131.1|AIZ48765.1	KY581700.1|ASU45878.1
KP223131.1|AIZ48766.1	KY581700.1|ASU45879.1
KP223131.1|AIZ48767.1	KY581700.1|ASU45880.1
