MK462251.1|QBF80541.1	KY581700.1|ASU45871.1
MK462251.1|QBF80542.1	KY581700.1|ASU45872.1
MK462251.1|QBF80543.1	KY581700.1|ASU45873.1
MK462251.1|QBF80544.1	KY581700.1|ASU45874.1
MK462251.1|QBF80545.1	KY581700.1|ASU45875.1
MK462251.1|QBF80546.1	KY581700.1|ASU45876.1
MK462251.1|QBF80547.1	KY581700.1|ASU45877.1
MK462251.1|QBF80548.1	KY581700.1|ASU45878.1
MK462251.1|QBF80549.1	KY581700.1|ASU45879.1
MK462251.1|QBF80550.1	KY581700.1|ASU45880.1
MK462251.1|QBF80551.1	KY581700.1|ASU45881.1
