MH310912.1|AXN92258.1	KY581700.1|ASU45871.1
MH310912.1|AXN92259.1	KY581700.1|ASU45872.1
MH310912.1|AXN92260.1	KY581700.1|ASU45873.1
MH310912.1|AXN92261.1	KY581700.1|ASU45874.1
MH310912.1|AXN92262.1	KY581700.1|ASU45875.1
MH310912.1|AXN92263.1	KY581700.1|ASU45876.1
MH310912.1|AXN92264.1	KY581700.1|ASU45877.1
MH310912.1|AXN92265.1	KY581700.1|ASU45878.1
MH310912.1|AXN92266.1	KY581700.1|ASU45879.1
MH310912.1|AXN92267.1	KY581700.1|ASU45880.1
MH310912.1|AXN92268.1	KY581700.1|ASU45881.1
